danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.731,0.586,-0.2904911660911999,0.172,0.116,0.0,0.0987,0.147,0.20692573807925868,-0.01779776138427665
0.505,0.27,-0.9375895503578423,0.0333,0.593,0.0,0.133,0.557,-0.8220271973034476,-0.6026901989113331
0.508,0.411,-0.042322266691000886,0.0269,0.226,0.0,0.0571,0.34,0.4027849035924914,0.5265942782048091
0.659,0.789,0.4536113482341527,0.0293,0.487,0.0,0.115,0.468,0.7432149154684831,-0.3703066206549353
0.754,0.514,-0.3539480345046058,0.0471,0.0257,3.98e-05,0.0808,0.363,-0.20459473983814286,-0.7080689321552137
0.466,0.872,1.4151647874411128,0.0336,0.0156,0.0,0.121,0.806,2.417406771287868,-0.15922540997902085
0.732,0.767,-0.3361639439938422,0.278,0.0667,0.0,0.316,0.569,-1.0552904180551164,-0.9024125683036055
0.829,0.539,-0.48167013908190726,0.173,0.296,0.000173,0.105,0.578,-0.5445695299465273,-0.8594517145356702
0.954,0.746,0.2959796368887492,0.0995,0.0272,0.00227,0.0892,0.886,0.13575940174324766,-1.073721805464894
0.571,0.928,1.2611707309729112,0.0453,0.00932,0.0,0.297,0.489,0.28636193652680997,-0.5382651054688378
0.359,0.336,-2.4451954050202893,0.0422,0.773,0.0,0.184,0.109,-0.39643277973750685,0.3937944122243488
0.857,0.687,0.4317854189709429,0.0785,0.109,0.000577,0.0971,0.531,-0.7746841334722425,-0.38481036028420057
0.862,0.549,0.0849956540110558,0.0632,0.243,0.000117,0.122,0.415,-0.015222484513320736,-0.6358416037782252
0.731,0.716,-0.9202096437223238,0.315,0.0801,0.0,0.308,0.656,0.2463024209773285,-0.7866902082482288
0.919,0.609,0.9511616986602847,0.0633,0.129,0.000457,0.0627,0.866,0.5155660965173097,-1.064090415867335
0.725,0.711,-0.43033878692583977,0.386,0.142,0.0,0.145,0.749,-1.0793792365910264,-0.7080689321552137
0.721,0.605,-0.5754407981386598,0.3,0.197,0.0,0.134,0.828,-1.588810329691394,-0.8609733122199904
0.758,0.942,0.6585325729831769,0.269,0.151,0.00185,0.498,0.838,1.1198350578692908,-1.1266216058091338
0.599,0.946,1.0437198060913035,0.0447,0.000938,0.0106,0.0826,0.747,1.1857284087305116,-0.9348031743283374
0.882,0.645,-0.15670630338522923,0.0601,0.475,4.13e-05,0.057,0.788,-0.20702258926538392,-1.5514711039226348
0.87,0.366,-0.26583594970127783,0.41,0.465,1.15e-05,0.111,0.715,-0.8487714761504026,-0.6981461727883168
0.731,0.413,-2.1857093571132413,0.25,0.0854,0.0,0.137,0.559,0.6646512254088465,-1.6652348116396842
0.777,0.573,0.24586083635841596,0.037,0.0719,0.0,0.216,0.484,-0.7740392359681312,-0.8630129006053557
0.713,0.688,-0.39355805427857893,0.36,0.0501,0.0,0.0662,0.559,-0.9623493071685351,-1.07257251359695
0.727,0.782,-0.6805286057022618,0.042,0.0563,0.336,0.225,0.655,-0.015108679071418796,-0.3668911194699186
0.855,0.86,0.6019468304489297,0.294,0.317,1.44e-05,0.166,0.848,0.1372388724879729,-0.22675844762778735
0.681,0.417,-0.5362349622399314,0.111,0.0895,0.0115,0.146,0.158,2.1841056153888982,-0.342480807683164
0.488,0.87,1.0752461483603843,0.0421,0.00353,0.0,0.484,0.211,-0.3914253402938215,-0.20629781493650237
0.704,0.787,0.0381103244826792,0.0462,0.00926,0.00538,0.159,0.31,-0.014956938482216568,0.22233949017839133
0.646,0.668,0.663786963361357,0.0282,0.491,0.0,0.212,0.64,-1.1160625240307505,-0.840868798135674
0.325,0.599,-0.6114131630354315,0.0512,0.247,9.65e-05,0.155,0.291,2.132210333881616,0.4190464589003018
0.556,0.864,0.3941963185731929,0.0584,0.00958,0.0,0.209,0.4,-0.5784076813387029,0.2689586532724583
0.479,0.617,0.5607200751739779,0.0338,0.213,0.0,0.135,0.132,-1.2122660575851874,-0.2565914745661087
0.737,0.725,-0.2973622919703586,0.372,0.0515,0.0,0.297,0.539,-0.9111368583126639,-0.47534542250125494
0.445,0.537,-0.6817411573279958,0.04,0.695,1.65e-05,0.0944,0.131,0.0902372249824736,0.7137831677950142
0.775,0.694,-0.20157071353738273,0.244,0.177,4.06e-05,0.155,0.655,-1.4568718873797488,-0.852701648212675
0.853,0.618,-1.6117682542658753,0.0923,0.633,0.89,0.0972,0.32,0.21398167547717897,-0.8848818205151073
0.739,0.766,0.15613201605410965,0.0729,0.272,0.0,0.42,0.82,0.48089337188452025,-1.0551227018554903
0.706,0.8,0.20705918433493203,0.0399,0.00584,0.0,0.0822,0.629,-0.7730908572856153,0.9561542542559396
0.635,0.601,0.28951269488483555,0.0295,0.246,0.0,0.11,0.332,0.136707780425764,-0.44889552232913504
0.638,0.717,0.420872454339338,0.0375,0.001,1.79e-06,0.113,0.422,0.8161262685803234,-1.0992004730725542
0.781,0.731,0.35296956329824114,0.0882,0.0366,0.000953,0.114,0.672,1.7358259797371711,-1.5366921817334391
0.936,0.878,1.6358491833246775,0.0723,0.0283,2.31e-06,0.0689,0.902,0.2504373520330992,0.43329120317904446
0.773,0.744,0.14845252242446175,0.058,0.431,0.000119,0.0836,0.348,-0.5839462128445971,-1.2064731098171313
0.736,0.698,-0.1902535650305331,0.0475,0.104,2.46e-05,0.069,0.519,-0.5847807860852116,-0.5037701622211097
0.725,0.71,-0.9420355729855336,0.127,0.258,0.0,0.0731,0.502,0.29038306214067816,-0.41907868260022135
0.623,0.648,0.21918470059227085,0.0501,0.0131,0.0,0.663,0.306,1.0811791427699329,-0.6604623492872793
0.792,0.667,-0.12922179986859494,0.186,0.0608,0.0,0.114,0.429,0.739573141327621,-0.3349699425180088
0.717,0.833,0.2988089240154618,0.137,0.0338,0.00118,0.313,0.428,0.3600699277319645,-1.105011681249905
0.738,0.572,-0.37496559601732615,0.163,0.571,0.0,0.643,0.457,0.026164761191683195,-0.46247659102216354
0.755,0.564,-0.44852706131184783,0.277,0.343,0.0,0.167,0.502,0.7361969132178636,-0.17539643217727535
0.738,0.68,0.26647421399589183,0.195,0.0956,7.85e-05,0.288,0.592,-0.129027926415257,-0.26733978161279637
0.69,0.617,-0.21895062017290126,0.0956,0.153,0.0,0.086,0.489,-0.7740771711154321,-0.9981760991593347
0.769,0.626,-1.3074177962066735,0.265,0.631,0.0067,0.291,0.394,0.7463635326944366,-1.2437522530829772
0.573,0.753,-0.4699488066998125,0.373,0.0194,0.0,0.549,0.46,0.6680274535186038,-0.1450454145379088
0.727,0.668,-0.6312181729224178,0.178,0.44,0.00152,0.271,0.525,0.17650174994414133,-0.6912666087900604
0.739,0.575,-1.3737039517467917,0.0396,0.633,0.0361,0.122,0.663,0.2908003487609862,-1.1171520883056516
0.762,0.668,0.05872370212015508,0.14,0.0383,7.28e-06,0.0999,0.631,-1.6471166510924857,-1.0722163949899814
0.603,0.636,-1.0006422348960038,0.158,0.167,0.00448,0.106,0.18,1.8813831399297483,-0.7736433174656531
0.797,0.608,0.016688579094714166,0.0424,0.666,0.0309,0.174,0.482,-0.5465800927534614,0.11178084992405886
0.648,0.593,-0.22784266542828308,0.0639,0.196,0.0,0.103,0.204,-1.0782032470247063,0.028967086594459297
0.735,0.433,-0.109820973856853,0.108,0.382,0.0,0.133,0.382,0.0987726331251186,-0.8965851729168471
0.543,0.638,-0.5515939494992272,0.109,0.181,0.000231,0.149,0.551,0.2485026595207662,-0.2147151638284867
0.71,0.892,0.31982648552818205,0.0658,0.0676,0.0089,0.632,0.277,-0.24192292478197777,-0.9755140059886077
0.803,0.627,-0.49500820696497966,0.328,0.365,0.0,0.12,0.427,-1.2669685399927177,0.04037906922686112
0.797,0.893,0.047406553613305785,0.232,0.0809,3.02e-05,0.113,0.836,-0.655947122421222,-0.8277895329342829
0.757,0.787,0.34811935679530587,0.0404,0.527,7.68e-05,0.111,0.784,0.29000371066767205,-0.08371207809227693
0.593,0.944,1.9672799610252691,0.0967,0.0174,0.0,0.597,0.483,1.5733497438485073,0.25950532297838363
0.645,0.818,0.12379730603453971,0.153,0.264,0.0,0.522,0.736,-1.2286540412190663,-0.9031248055175426
0.695,0.731,-0.0014996952912938806,0.0504,0.238,0.0,0.1,0.416,-0.014615522156510746,-0.5758356185040215
0.732,0.671,-0.31110454372867574,0.244,0.475,0.0,0.0998,0.362,0.36363583157822493,-1.0601892984000885
0.78,0.724,0.05064002461526278,0.19,0.354,0.0,0.272,0.431,-1.0020674063923112,-0.5540314474319007
0.685,0.723,-0.1267966966171271,0.0887,0.0293,1.83e-05,0.103,0.435,0.9698015502952387,-0.4211506454044021
0.763,0.831,0.5162598488970696,0.0453,0.0668,0.0,0.0618,0.476,0.5924985752430183,-0.5422633461925302
0.74,0.777,-0.1393263967497107,0.189,0.147,0.0,0.171,0.543,0.9305766079863705,-0.6964303285911047
0.717,0.725,0.22565164259618484,0.162,0.467,0.0,0.0987,0.645,-0.01761239879326149,-0.3927744673127703
0.709,0.766,-0.08556994134217571,0.268,0.278,0.0,0.216,0.669,2.0694656002463483,-0.5000794784761627
0.687,0.684,-0.44650614193562477,0.204,0.08,0.0,0.135,0.476,1.1959708985016864,-0.7880823082572878
0.684,0.753,0.7801919194318088,0.0272,0.021,0.0,0.241,0.876,-0.242795433169893,-0.305638719071325
0.476,0.829,1.2284318370780967,0.0658,0.0172,0.00916,0.167,0.505,0.7134737599847774,-1.0851499753067035
0.47,0.652,-1.125130868471348,0.0561,0.0831,4.08e-05,0.175,0.104,0.8190472749224731,-0.1615239937149089
0.72,0.722,-0.47196972607603593,0.236,0.527,0.00122,0.103,0.299,-0.39529472531848747,-0.8754446774304403
0.758,0.684,-0.5532106850002055,0.0503,0.252,0.0248,0.114,0.409,0.2891691374270582,-0.2673235944033887
0.436,0.299,-1.4448403137898456,0.0392,0.942,0.0498,0.118,0.244,-1.3143116038239235,0.0034236701491684265
0.397,0.444,-1.1918212078867112,0.0371,0.877,0.0263,0.115,0.215,-1.5953731101744058,-0.14768392967135774
0.248,0.354,-0.9169761727203671,0.0327,0.443,0.0,0.349,0.257,1.9634368635410437,-0.06347806633269924
0.503,0.612,-1.0548028741787836,0.0325,0.608,0.00797,0.198,0.299,-1.3442044998968319,-0.28103416077167853
0.537,0.296,-2.232998870516862,0.0331,0.892,0.266,0.138,0.253,-1.1472831502591814,0.6250772602410256
0.339,0.332,-1.125130868471348,0.0455,0.931,1.77e-06,0.158,0.566,3.2077855652968146,0.15263736646899811
0.439,0.652,0.5829501883124325,0.0293,0.0624,0.372,0.126,0.247,0.36564639438515906,0.8050790288542288
